 Problem ,Equation,Solution,Class
एक डिब्बे में 102 सेब हैं। ऐसे 159 डिब्बों में कुल कितने सेब होंगे?,102 * 159,16218,Multiplication
855 बच्चों में 19 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,855 ÷ 19,45,Division
राम के पास 76 आम हैं और श्याम के पास 167 आम हैं। कुल कितने आम हैं?,76 + 167,243,Addition
50 बच्चों में 1 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,50 ÷ 1,50,Division
राम के पास 175 आम हैं और श्याम के पास 104 आम हैं। कुल कितने आम हैं?,175 + 104,279,Addition
एक डिब्बे में 155 सेब हैं। ऐसे 181 डिब्बों में कुल कितने सेब होंगे?,155 * 181,28055,Multiplication
280 बच्चों में 7 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,280 ÷ 7,40,Division
एक डिब्बे में 50 सेब हैं। ऐसे 199 डिब्बों में कुल कितने सेब होंगे?,50 * 199,9950,Multiplication
एक डिब्बे में 169 सेब हैं। ऐसे 50 डिब्बों में कुल कितने सेब होंगे?,169 * 50,8450,Multiplication
एक डिब्बे में 102 सेब हैं। ऐसे 61 डिब्बों में कुल कितने सेब होंगे?,102 * 61,6222,Multiplication
राम के पास 72 आम हैं और श्याम के पास 127 आम हैं। कुल कितने आम हैं?,72 + 127,199,Addition
राम के पास 154 आम हैं और श्याम के पास 97 आम हैं। कुल कितने आम हैं?,154 + 97,251,Addition
96 बच्चों में 3 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,96 ÷ 3,32,Division
"एक खेत में 185 गायें थीं, 12 गायें बेच दी गईं। अब कितनी बचीं?",185 - 12,173,Subtraction
राम के पास 30 आम हैं और श्याम के पास 193 आम हैं। कुल कितने आम हैं?,30 + 193,223,Addition
एक डिब्बे में 97 सेब हैं। ऐसे 196 डिब्बों में कुल कितने सेब होंगे?,97 * 196,19012,Multiplication
532 बच्चों में 14 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,532 ÷ 14,38,Division
390 बच्चों में 13 चॉकलेट बराबर बाँटी गईं। हर बच्चे को कितनी चॉकलेट मिली?,390 ÷ 13,30,Division
